[2022-07-03 21:09:04][2827] Processing: App\Jobs\ConvertVideoQueue
[2022-07-03 21:09:04][2827] Failed:     App\Jobs\ConvertVideoQueue
[2022-07-03 21:15:42][2830] Processing: App\Jobs\ConvertVideoQueue
Job sent by PEAK PROJECT SDN BHD [ id-2352]
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  20%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  20.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  20.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  20.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  20.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  21%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  21.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  21.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  21.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  21.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  22%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  22.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  22.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  22.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  22.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  23%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  23.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  23.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  23.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  23.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  24%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  24.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  24.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  24.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  24.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  25%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  25.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  25.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  25.6%  
[2022-07-03 21:17:23][2830] Processing: App\Jobs\ConvertVideoQueue
[2022-07-03 21:17:23][2830] Failed:     App\Jobs\ConvertVideoQueue
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  25.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  26%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  26.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  26.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  26.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  26.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  27%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  27.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  27.4%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  27.6%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  27.8%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  28%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  28.2%  
VIDEO ID (2352) :: Exporting to encrypted HLS for 360p at  28.4%  
[2022-07-03 21:18:24][2830] Failed:     App\Jobs\ConvertVideoQueue
[2022-07-03 21:42:09][2835] Processing: App\Jobs\ConvertVideoQueue
Job sent by PENTAS WAYANG PRODUCTION SDN BHD [ id-2386]
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  20%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  20.2%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  20.4%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  20.6%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  20.8%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  21%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  21.2%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  21.4%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  21.6%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  21.8%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  22%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  22.2%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  22.4%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  22.6%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  22.8%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  23%  
VIDEO ID (2386) :: Exporting to encrypted HLS for 360p at  23.2%  
