No.,Company_ID,Proposal_ID,Urusetia ID,Panel ID,need_statement,storyline,theme,concept,originality,structure,storytelling,objective,props,impact,value_added,comment,Timestamp
,,,,,,,,,,,,,,,,,
1,,949,,940,Ya,5,4,5,5,5,5,4,5,5,5,Jlan cerita yang cliche. Tiada wow factor yang membolehkan drama bersiri ini 'Sustain' untuk 13 episod keseluruhan. ,07/07/2022 09:22:44
2,,949,,955,Ya,8,8,10,9,8,9,8,8,5,7,"MEMPUNYAI NILAI YANG BAIK DAN SESUAI UNTUK SLOT AIDILADHA, NAMUN NARATIF SUB-PLOT PERLU DIPERTINGKATAN SUPAYA RELEVEN DENGAN OBJEKTIK KESELURUHAN DRAMA",07/07/2022 09:22:48
3,,949,,1022,Ya,7,8,8,8,8,8,8,8,8,8,"Drama bersiri yang mempunyai mesej mengenai usaha keras, ikhlas, persahabatan yang akan membawa kepada kebaikan kepada semua. secara jelas, sikap tidak baik atau negatif akan merugikan individu .. Drama yang sesuai untuk tontonan seisi sekeluarga . ",07/07/2022 09:24:02
4,,1001,,940,Ya,5,5,5,5,5,5,5,5,5,5,Jalan cerita yang biasa. Tiada elemen AidilAdha yang di tonjolkan dalam cerita ini. Tiada sub plot dan watak perwatakan yang tidak bersesuaian. ,07/07/2022 09:39:08
5,,1001,,955,Ya,4,3,4,4,4,4,5,5,4,5,"IMAGINASI YANG SANGAT BESAR, NAMUN NARATIF DAN WATAK SUKAR UNTUK BERKEMBANG UNTUK 13 EPISOD. TIADA PENCERITAAN DAN OBJEKTIF YANG JELAS UNTUK KATEGORI DRAMA KHAS AIDILADHA",07/07/2022 09:39:43
6,,1001,,1022,Ya,7,7,7,7,7,7,7,7,7,7,"Jalan cerita menarik , ada unsur komersial tetapi untuk kandungan drama Aidiladha , ia agak kurang menonjol..Drama lebih menonjolkan watak lelaki Korea. walaubagaimanapun, drama ini mampu menarik penonton muda memandangkan kini trend korea mendapat perhatian. ",07/07/2022 09:40:42
7,,1041,,955,Ya,8,8,8,7,8,7,6,7,7,7,"POV SEEKOR LEMBU YANG DIREBUT OLEH 2 BUAH KELUARGA MUNGKIN TIDAK BOLEH SUSTAIN UNTUK 13 EPISOD, TETAPI DENGAN PENGGUNAAN CGI DAN JALAN CERITA KOMEDI BERSETA PELAKON-PELAKON KOMEDI DAPAT MENJADIKAN DRAMA INI LUCU DAN SANTAI UNTUK TANYANGAN SEKELUARGA. TAJUK DRAMA BERSIRI PERLU DIUBAH.",07/07/2022 09:57:32
8,,1041,,1022,Ya,8,8,8,9,8,8,8,8,8,8,"Drama yang menarik untuk tontonan sekeluarga.. walaupun jalan cerita yang ringan,ia lari dari drama Aidiladha yang stereotaip, ada unsur kerjasama, bersatu dan bermaafan di akhir drama ini. Hanya tajuk drama perlu ditukar memandangkan perkataan Cenggini tiada dalam kamus bahasa. ",07/07/2022 09:57:56
9,,1041,,940,Ya,7,7,7,7,7,6,7,7,8,7,Syarikat menjanjikan akan menyerapkan elemen CGI dalam pembikinan drama ini. Eleman drama komedi romantik berjaya di tonjolkan dalam drama ini. Namun tidaklah terlalu baik untuk di syorkan untuk tayangan sempena Aidiladha,07/07/2022 09:59:12
